IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,282,0,0,2	0,112,0,0,4	0,0,0,0,142,0,0,0,0,0,546,0,0,0,0,23	0,0,0,0,24,0,0,2,2,2,204,0,0,0,5,28	212	176
0,126,0,0,0	0,271,0,0,4	0,0,0,0,13,0,0,0,0,0,218,0,0,0,0,11	0,0,0,0,149,0,0,0,0,0,610,0,0,0,8,27	176	185
0,69,0,0,0	0,360,0,0,2	0,0,0,0,41,0,0,0,0,0,167,0,0,0,0,5	0,0,0,0,160,0,0,0,0,0,532,0,0,0,6,5	176	203
0,0,0,0,0	0,1,0,0,0	0,0,0,0,0,2,0,0,0,0,13,0,0,0,21,6	0,0,0,0,26,0,4,0,0,0,6,0,0,0,12,0	203	222
0,13,0,0,0	0,0,2,0,0	0,0,0,0,0,0,0,2,0,0,10,0,0,0,25,6	0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0	1104	295
0,3,0,0,0	0,0,2,0,0	0,0,0,0,9,0,0,2,0,0,8,0,0,0,22,0	0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0	271	295
0,14,0,0,0	0,81,0,0,0	0,0,0,0,33,0,0,0,0,0,34,0,0,0,58,10	0,0,0,0,200,0,0,0,0,0,199,0,0,0,71,12	238	579
0,2,0,0,0	0,7,0,0,0	0,0,0,0,46,2,0,0,0,0,23,0,0,0,32,1	0,0,0,0,51,2,0,2,0,0,31,0,0,0,31,3	187	238
0,11,0,0,0	0,9,0,0,0	0,0,0,0,73,0,0,0,0,0,42,0,0,0,0,1	0,0,0,0,16,2,0,0,0,0,24,0,0,0,27,0	245	187
0,1419,4,0,0	0,1463,2,0,4	0,0,0,0,2489,2,4,6,0,6,3266,0,0,0,578,75	0,0,0,0,1900,0,0,0,0,2,2409,0,0,0,464,72	279	262
0,29,0,0,0	0,1,0,0,0	0,0,0,0,145,0,2,0,0,0,671,0,0,0,92,40	0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0	293	230
0,0,0,0,0	0,26,0,0,2	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6	314	294
0,135,0,0,0	0,26,0,0,2	0,0,0,0,372,0,0,2,0,0,383,0,0,0,145,38	0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6	245	294
0,135,0,0,0	0,0,0,0,0	0,0,0,0,372,0,0,2,0,0,383,0,0,0,145,38	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	245	314
0,95,0,0,2	0,52,0,0,0	0,0,0,0,415,0,0,0,0,4,604,0,0,0,192,37	0,0,0,0,129,0,0,0,0,0,192,0,0,0,91,8	317	217
0,9449,0,0,54	0,7917,4,0,9	0,0,0,0,3051,0,0,17,6,22,6063,0,0,0,590,430	0,0,0,0,1360,4,2,8,0,0,2497,0,0,0,1019,321	246	219
0,1,0,0,0	0,5,0,0,2	0,0,0,0,101,0,0,0,2,0,67,0,0,0,38,6	0,0,0,0,25,0,0,2,0,0,55,0,0,0,63,5	294	234
0,0,0,0,0	0,11,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,36,4	209	221
0,0,0,0,0	0,3,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0	294	294
0,9,6,0,0	0,0,0,0,0	0,0,0,0,48,2,0,0,0,0,15,0,0,0,45,6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	210	337
0,38,6,0,0	0,2,0,0,0	0,0,0,0,58,2,0,0,0,0,40,0,0,0,54,9	0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0	210	264
0,2,0,0,0	0,0,0,0,0	0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1	0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0	216	216
