IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,4,0,0,0	0,0,0,0,0	0,0,0,0,33,0,0,0,0,0,38,0,0,0,583,12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0	355	149
0,2,0,0,0	0,0,0,0,0	0,0,0,0,85,0,0,0,0,0,34,0,0,0,9,24	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	401	149
0,16,0,0,0	0,0,0,0,0	0,0,0,0,54,0,0,0,0,0,37,0,0,0,18,22	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1	278	149
0,180,2,0,0	0,0,0,0,0	0,0,0,0,240,0,0,0,0,0,400,0,0,0,369,86	0,0,0,0,35,0,0,0,0,0,3,0,0,0,0,4	303	149
0,623,0,0,0	0,6,0,0,0	0,0,0,0,262,0,0,2,0,0,262,0,0,0,60,14	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	319	149
0,680,0,0,0	0,6,0,0,0	0,0,0,0,291,0,0,2,0,0,248,0,0,0,60,15	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	309	149
0,241,0,0,0	0,15,0,0,0	0,0,0,0,96,0,0,0,0,0,232,0,0,0,6,12	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	215	149
0,103,0,0,0	0,8,0,0,0	0,0,0,0,131,0,0,0,0,0,244,0,0,0,69,6	0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0	246	149
0,198,0,0,4	0,0,0,0,0	0,0,0,0,1231,0,0,0,0,0,4586,0,0,0,14,191	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	212	149
0,149,0,0,0	0,0,0,0,0	0,0,0,0,1150,0,0,0,2,0,3774,0,0,0,24,396	0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0	200	149
0,243,0,0,4	0,2,0,0,0	0,0,0,0,1697,0,0,0,6,2,4774,0,0,0,132,209	0,0,0,0,77,0,0,0,0,0,17,0,0,0,0,0	195	149
0,450,0,0,0	0,0,0,0,0	0,0,0,0,1614,0,0,0,0,0,5968,0,0,0,92,105	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	188	149
0,746,0,0,3	0,0,0,0,0	0,0,0,0,383,0,0,0,0,0,1556,0,0,0,23,52	0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0	236	149
0,551,0,0,4	0,0,0,0,0	0,0,0,0,236,0,0,4,4,0,1173,0,0,0,4,60	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	176	149
0,954,0,0,12	0,0,0,0,0	0,0,0,0,341,0,0,0,0,6,1683,0,0,0,9,223	0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0	212	149
0,780,0,0,14	0,0,0,0,0	0,0,0,0,208,0,0,2,2,8,1324,0,0,0,14,229	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	176	149
0,961,0,0,18	0,6,0,0,0	0,0,0,0,359,0,0,2,2,10,1745,0,0,0,27,248	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3	185	149
0,1133,0,0,20	0,5,0,0,0	0,0,0,0,331,0,0,0,6,6,1756,0,0,0,38,206	0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0	176	149
0,1471,0,0,22	0,0,0,0,0	0,0,0,0,520,0,0,0,6,6,2175,0,0,0,48,206	0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0	203	149
0,898,0,0,8	0,6,0,0,0	0,0,0,0,288,0,0,5,0,2,913,0,0,0,27,101	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	290	149
0,75,0,0,0	0,46,0,0,0	0,0,0,0,98,0,0,0,0,0,50,0,0,0,12,5	0,0,0,0,31,0,0,0,0,0,61,0,0,0,22,2	355	149
0,65,0,0,0	0,14,0,0,0	0,0,0,0,91,0,0,0,0,0,20,0,0,0,12,3	0,0,0,0,74,0,0,0,0,0,62,0,0,0,18,5	690	149
0,9,0,0,0	0,5,0,0,0	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,2	284	149
0,5,0,0,0	0,24,0,0,0	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,70,0,0,0,2,0,50,0,0,0,24,0	284	149
0,4,0,0,0	0,0,0,0,0	0,0,0,0,30,0,0,0,0,0,7,0,0,0,8,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	284	149
0,2,2,0,0	0,33,2,0,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0	0,0,0,0,39,0,0,0,0,0,66,0,0,0,29,3	209	149
0,637,0,0,0	0,0,0,0,0	0,0,0,0,3650,0,0,2,4,8,1442,0,0,0,52,142	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	352	149
0,233,0,0,2	0,1,0,0,0	0,0,0,0,1610,0,0,0,2,0,945,0,0,0,162,70	0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3	337	149
0,0,0,0,0	0,86,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3	0,0,0,0,652,0,0,0,0,0,381,0,0,0,90,6	221	149
0,72,0,0,0	0,70,0,0,0	0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,433,0,0,0,2,0,414,0,0,0,9,43	258	149
0,69,0,0,0	0,0,0,0,0	0,0,0,0,293,0,0,0,2,0,345,0,0,0,9,39	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	238	149
0,69,0,0,0	0,0,0,0,0	0,0,0,0,301,0,0,0,2,0,355,0,0,0,9,39	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	281	149
0,168,0,0,6	0,0,0,0,0	0,0,0,0,792,0,0,0,0,2,443,0,0,0,6,14	0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0	291	149
0,168,0,0,6	0,0,0,0,0	0,0,0,0,792,0,0,0,0,2,448,0,0,0,6,17	0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0	379	149
0,215,0,0,0	0,1,0,0,0	0,0,0,0,1026,0,0,0,0,0,841,0,0,0,10,49	0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0	392	149
0,490,0,0,0	0,1,0,0,0	0,0,0,0,2215,0,0,0,0,0,1686,0,0,0,71,129	0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0	278	149
0,4,0,0,0	0,70,0,0,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,6	0,0,0,0,144,0,0,0,0,0,226,0,0,0,67,15	297	149
