ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	0,25,0,0,0	0,60,0,0,0	0,0,0,0,73,0,0,0,0,0,61,0,0,0,43,4	0,0,0,0,101,0,0,0,0,0,176,0,0,0,35,9	298	149	1	1.0
2	0,399,0,0,0	0,86,0,0,0	0,0,0,0,197,0,0,0,0,0,127,0,0,0,8,1	0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1	298	149	1	1.0
11	0,14,2,0,0	0,5,0,0,0	0,0,0,0,0,0,6,0,0,2,0,0,0,0,123,60	0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4	298	149	1	1.0
13	0,7,0,0,0	0,141,0,0,4	0,0,0,0,26,0,0,0,0,0,19,0,0,0,14,10	0,0,0,0,359,0,0,0,0,0,599,0,0,0,36,23	298	149	1	1.0
14	0,89,0,0,0	0,169,0,0,0	0,0,0,0,127,0,0,0,0,0,42,0,0,0,16,22	0,0,0,0,238,2,0,0,0,0,611,0,0,0,84,12	298	149	1	1.0
15	0,19,0,0,0	0,197,0,0,0	0,0,0,0,51,0,0,0,0,0,15,0,0,0,0,1	0,0,0,0,326,2,0,0,0,0,529,0,0,0,49,24	298	149	1	1.0
17	0,17,0,0,0	0,20,0,0,0	0,0,0,0,20,0,2,0,0,0,19,0,0,0,10,2	0,0,0,0,28,0,0,0,0,0,8,0,0,0,12,0	273	149	1	1.0
18	0,8,0,0,0	0,0,0,0,0	0,0,0,0,15,0,0,0,0,0,3,0,0,0,12,2	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0
23	0,0,0,0,0	0,203,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,29,5	0,0,0,0,602,2,0,2,0,0,846,0,0,0,625,32	262	149	1	1.0
24	0,29,0,0,0	0,158,0,0,0	0,0,0,0,27,2,0,0,0,0,12,0,0,0,10,15	0,0,0,0,274,0,0,0,0,0,251,0,0,0,15,65	298	149	1	1.0
25	0,65,2,0,0	0,62,0,0,0	0,0,0,0,79,2,0,0,0,0,13,0,0,0,7,6	0,0,0,0,161,0,0,0,2,0,187,0,0,0,70,16	298	149	1	1.0
36	0,0,0,0,0	0,39,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	0,0,0,0,78,0,0,0,0,0,111,0,0,0,43,8	298	149	1	1.0
37	0,1,0,0,0	0,29,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,48,0,0,0,0,0,107,0,0,0,2,15	298	149	1	1.0
40	0,124,0,0,2	0,44,0,0,0	0,0,0,0,616,0,0,2,0,2,386,0,0,0,0,22	0,0,0,0,86,0,0,0,0,0,201,0,0,0,0,0	298	149	1	1.0
41	0,18,0,0,0	0,253,0,0,0	0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,5	0,0,0,0,272,0,0,2,0,0,230,0,0,0,8,23	217	149	1	1.0
42	0,11,0,0,0	0,313,0,0,0	0,0,0,0,23,0,0,0,0,0,9,0,0,0,2,0	0,0,0,0,191,0,0,0,0,0,378,0,0,0,18,23	217	149	1	1.0
43	0,0,0,0,0	0,4,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7	0,0,0,0,97,0,0,0,0,0,79,0,0,0,3,15	244	149	1	1.0
45	0,14,0,0,0	0,5,0,0,0	0,0,0,0,23,0,0,0,0,0,14,0,0,0,0,0	0,0,0,0,67,0,0,0,0,0,24,0,0,0,5,0	298	149	1	1.0
46	0,50,0,0,0	0,215,0,0,0	0,0,0,0,114,0,0,0,0,0,37,0,0,0,0,17	0,0,0,0,126,0,0,0,0,0,83,0,0,0,1,20	220	149	1	1.0
