IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
179	0	223	35	298	149
565	6	255	0	298	149
649	6	284	0	298	149
241	15	96	0	215	149
103	8	131	1	246	149
243	2	1697	77	195	149
954	0	341	15	212	149
961	6	359	0	185	149
1133	5	331	0	176	149
1471	0	520	24	203	149
898	6	288	0	290	149
51	46	73	31	298	149
19	14	18	74	298	149
9	5	6	7	284	149
5	24	6	70	284	149
2	33	0	39	209	149
199	1	1440	19	298	149
72	70	206	433	258	149
215	1	1026	6	298	149
490	1	2215	6	278	149
4	70	0	144	297	149
6198	7	24943	104	251	149
1	108	0	337	298	149
689	8	1843	0	235	149
551	1	373	0	270	149
1286	84	584	8	270	149
157	756	233	318	298	149
16	5	30	0	214	149
24	1	233	7	298	149
16	1	53	7	248	149
0	18	16	62	298	149
144	21	263	0	212	149
0	4	8	0	266	149
0	2	8	0	266	149
15	120	53	211	298	149
9	120	28	211	267	149
0	64	8	332	298	149
4	5	12	11	285	149
113	2	354	15	227	149
1	0	36	1	235	149
1	9	26	81	222	149
81	0	68	4	298	149
3	2	0	21	298	149
3	2	9	21	271	149
30	0	119	22	238	149
27	5	145	0	245	149
0	13	30	84	243	149
318	8	786	0	289	149
4	1930	0	2411	201	149
1122	2	2121	0	298	149
6	1930	0	2411	245	149
3046	2	4517	0	262	149
1463	11	1900	0	262	149
1419	11	2489	0	279	149
3003	1	5118	12	279	149
221	25	319	0	287	149
162	11	771	28	298	149
74	11	285	35	265	149
24	4	167	39	298	149
17	0	77	2	298	149
14	0	104	2	273	149
22	5	155	0	273	149
14	0	5	7	221	149
32	0	66	7	230	149
12	2	5	9	230	149
14	0	52	7	273	149
18	2	106	9	239	149
39	1	160	0	239	149
45	0	24	4	298	149
26	0	0	24	294	149
135	0	372	24	245	149
131	7	469	0	217	149
156	0	645	5	298	149
77	3	101	7	298	149
2	0	37	17	269	149
29	14	34	0	298	149
21834	92	6211	12	246	149
9449	14	3051	31	246	149
7917	14	1360	31	219	149
20547	3	4618	0	219	149
3	0	0	11	186	149
138	15	145	15	212	149
34	0	30	15	212	149
15	40	55	342	281	149
1	41	15	472	267	149
15	3	28	0	198	149
5	25	0	58	298	149
38	35	58	0	210	149
4	32	18	28	264	149
4	6	0	12	198	149
117	1	467	0	292	149
9	57	28	252	245	149
106	7	301	0	273	149
2	0	10	9	211	149
1	2	3	22	298	149
444	22	274	6	202	149
872	14	451	8	252	149
90	15	381	20	298	149
80	6	72	5	260	149
298	0	780	21	283	149
14	81	14	135	204	149
82	15	192	28	227	149
11	11	0	18	275	149
320	91	202	73	230	149
4	12	102	6	244	149
0	3	33	97	210	149
10	3	107	97	296	149
38	11	67	34	234	149
49	0	78	1	239	149
49	5	148	11	209	149
22	0	79	4	298	149
16	2	74	0	298	149
28	2	23	0	179	149
54	1	134	0	298	149
468	0	816	3	260	149
5	12	12	0	200	149
44	482	20	509	296	149
807	0	888	9	245	149
0	20	9	125	298	149
96	0	169	6	298	149
95	0	147	6	264	149
26	152	20	71	297	149
105	231	10	82	298	149
295	748	67	139	275	149
25	0	0	40	298	149
0	2	40	7	233	149
0	2	4	0	249	149
4	80	0	90	284	149
4	15	12	27	271	149
0	21	12	62	298	149
0	21	12	62	298	149
0	21	23	62	298	149
56	0	37	11	242	149
52	0	37	2	242	149
9	0	4	4	298	149
42	0	13	2	230	149
80	19	34	0	198	149
211	1	36	0	290	149
6	2	6	3	271	149
197	1	423	26	218	149
0	64	14	240	214	149
51	2	306	20	236	149
29	2	188	20	287	149
620	0	488	5	298	149
236	5	802	0	292	149
6	136	8	499	265	149
16	17	16	17	244	149
34	17	17	17	277	149
2673	1	3354	11	265	149
2144	6	1942	0	290	149
3	0	226	18	241	149
2	129	0	222	249	149
355	4	422	1	259	149
3	538	0	272	298	149
284	711	707	1095	298	149
4	711	6	1095	298	149
